,name,link,employer,sal_min,sal_max,sal_cur
55,Системный аналитик (ETL/DWH),https://hh.ru/vacancy/38036052?query=data%20scientist, Техносерв Консалтинг,,,
56,DATA ENGINEER,https://hh.ru/vacancy/37125590?query=data%20scientist, Сибур,,,
57,Senior Data Engineer / Ведущий инженер данных,https://hh.ru/vacancy/37167337?query=data%20scientist,ООО UMA.Tech,,290000,руб.
58,Data Scientists Middle/Senior,https://hh.ru/vacancy/35723655?query=data%20scientist, Альфа-Банк,,,
59,Data Scientist,https://hh.ru/vacancy/38006168?query=data%20scientist, Positive Technologies,,,
60,Senior Data Scientist,https://hh.ru/vacancy/37997998?query=data%20scientist," «РОСБАНК, Societe Generale Group», с опытом работы",,,
61,Data Scientist (моделирования розничных рисков),https://hh.ru/vacancy/37678859?query=data%20scientist,АО Газпромбанк,,,
62,Скоринг-аналитик / Data scientist /Аналитик (скоринг),https://hh.ru/vacancy/38005368?query=data%20scientist, RRC Consulting,,,
63,Scala разработчик,https://hh.ru/vacancy/38014567?query=data%20scientist, ANCOR FinTech,,,
64,Стажер (ИТ-рекрутер),https://hh.ru/vacancy/38002433?query=data%20scientist,ООО New.HR,,,
65,Team Lead data scientist (коммерческое направление),https://hh.ru/vacancy/38004748?query=data%20scientist,"ПАО МегаФон, IT",,,
66,Data Science Team Lead (прогнозирование спроса),https://hh.ru/vacancy/37986641?query=data%20scientist, Ozon Информационные технологии,,,
67,Senior Data Scientist,https://hh.ru/vacancy/37350561?query=data%20scientist, ЦИАН ГРУПП,,,
68,Data Scientist/NLP,https://hh.ru/vacancy/37977181?query=data%20scientist, Сбербанк для экспертов,,,
69,Инженер/архитектор данных (промышленный интернет вещей),https://hh.ru/vacancy/37542443?query=data%20scientist, GE (General Electric Company),,,
70,Senior Data Scientist (новостной мониторинг),https://hh.ru/vacancy/37300195?query=data%20scientist, Сбербанк для экспертов,,,
71,Lead Data Scientist,https://hh.ru/vacancy/37960012?query=data%20scientist, Инфосистемы Джет,,,
72,Senior Data Scientist (УТФ),https://hh.ru/vacancy/37021862?query=data%20scientist, Сбербанк для экспертов,,,
73,Senior Data Scientist ( блок УБ),https://hh.ru/vacancy/37176728?query=data%20scientist, Сбербанк для экспертов,,,
