,name,link,employer,salary_min,salary_max,salary_currency
31,Аналитик,https://hh.ru/vacancy/38191457?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," ЦУМ, Офис",,,
32,Аналитик,https://hh.ru/vacancy/38148563?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Nestle,,,
33,Аналитик данных,https://hh.ru/vacancy/37985688?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, BestDoctor,70000.0,100000.0,руб.
34,Технический аналитик / Аналитик BI,https://hh.ru/vacancy/37388360?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, ivi,120000.0,,руб.
35,Аналитик,https://hh.ru/vacancy/37922041?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО БОЛЬШАЯ ТРОЙКА,60000.0,80000.0,руб.
36,Финансовый аналитик,https://hh.ru/vacancy/37741352?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО РБР трейд,100000.0,,руб.
37,Аналитик/Ведущий аналитик (SQL/Tableau),https://hh.ru/vacancy/37785503?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ЧЕСТНОЕ СЛОВО,80000.0,90000.0,руб.
38,BI Аналитик,https://hh.ru/vacancy/38109947?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Spice Agency,170000.0,200000.0,руб.
39,Ведущий аналитик,https://hh.ru/vacancy/37798804?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Крит,150000.0,,руб.
40,Бизнес-аналитик/ экономист – аналитик на проект автоматизации,https://hh.ru/vacancy/37823502?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Белнефтехим-РОС,,,
41,Аналитик по продажам,https://hh.ru/vacancy/38220372?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Экомилк,70000.0,80000.0,руб.
42,Финансовый аналитик,https://hh.ru/vacancy/37849705?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Ломбард Семёрочка,100000.0,,руб.
43,Консультант-аналитик 1С ERP,https://hh.ru/vacancy/38092192?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Гранд Проект,100000.0,120000.0,руб.
44,Аналитик данных,https://hh.ru/vacancy/37638698?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Ресурсный центр Департамента здравоохранения города Москвы,70000.0,80000.0,руб.
45,Бизнес-аналитик,https://hh.ru/vacancy/36840966?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, HOLODILNIK.RU,125000.0,,руб.
46,Аналитик бизнес-процессов,https://hh.ru/vacancy/38168849?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ИП Борисик Александр Павлович,100000.0,,руб.
47,Риск-аналитик,https://hh.ru/vacancy/37785459?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," СОЮЗ, Акционерный Коммерческий Банк",140000.0,,руб.
48,Финансовый аналитик,https://hh.ru/vacancy/37544815?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ВсеИнструменты.ру,120000.0,,руб.
49,Бизнес-аналитик\Системный аналитик,https://hh.ru/vacancy/37305713?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," АйТи Гео, ООО (IT GEO)",120000.0,150000.0,руб.
50,Аналитик в департамент продаж,https://hh.ru/vacancy/38185609?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Zoon.ru,80000.0,120000.0,руб.
51,Ведущий аналитик,https://hh.ru/vacancy/38112860?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, СофтТелематика,150000.0,200000.0,руб.
52,Аналитик,https://hh.ru/vacancy/38165531?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Кредитные Системы,60000.0,90000.0,руб.
53,Аналитик-тестировщик,https://hh.ru/vacancy/37821562?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," ЦУМ, IT",,,
54,Аналитик данных (data analyst),https://hh.ru/vacancy/38176724?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," Персонал-Exclusive, Первое рекрутинговое агентство",150000.0,200000.0,руб.
55,Финансовый аналитик,https://hh.ru/vacancy/38081666?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Ф1брокер,80000.0,,руб.
56,Ведущий аналитик/Главный аналитик,https://hh.ru/vacancy/38139205?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Центр инноваций и информационных технологий,,240000.0,руб.
57,Продуктовый аналитик,https://hh.ru/vacancy/38199040?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО 24Н Софт,140000.0,230000.0,руб.
58,Бизнес-аналитик на проект,https://hh.ru/vacancy/38139702?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Startup Rock Stars,,150000.0,руб.
59,Главный инвестиционный аналитик,https://hh.ru/vacancy/38199368?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,АО Мосинжпроект,112000.0,140000.0,руб.
60,Старший аналитик,https://hh.ru/vacancy/37679543?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ГОЛДЕНГУС ИНТЕРНЕШНЛ,150000.0,250000.0,руб.
61,Экономист-аналитик,https://hh.ru/vacancy/38080031?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Нэтфикс,70000.0,,руб.
62,Аналитик соцмедиа,https://hh.ru/vacancy/37988117?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Web Interactive World,120000.0,,руб.
63,Аналитик бизнес-процессов,https://hh.ru/vacancy/38128962?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,АО Мособлгаз,150000.0,150000.0,руб.
64,Аналитик бизнес-процессов,https://hh.ru/vacancy/37870196?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, «Серволюкс Восток»,130000.0,,руб.
65,Экономист-аналитик,https://hh.ru/vacancy/38187990?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, ФГУП ДСО ФМБА России,60000.0,80000.0,руб.
66,Бизнес-аналитик,https://hh.ru/vacancy/38094083?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ИП Бабаев Олег Иосифович,150000.0,,руб.
67,Продуктовый аналитик,https://hh.ru/vacancy/38053356?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Константа,160000.0,190000.0,руб.
68,Аналитик,https://hh.ru/vacancy/37401421?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Haier,,,
69,Экономист-аналитик,https://hh.ru/vacancy/38091266?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Yumbaker,,70000.0,руб.
70,Аналитик,https://hh.ru/vacancy/36880234?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Lenvendo,130000.0,160000.0,руб.
71,Digital Аналитик (Data Science),https://hh.ru/vacancy/38211522?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, БУРГЕР КИНГ РОССИЯ,,,
72,Web аналитик / Power BI аналитик,https://hh.ru/vacancy/36050568?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, TWIGA Communication Group,100000.0,150000.0,руб.
73,Младший аналитик/ Аналитик (Ритейл),https://hh.ru/vacancy/38013463?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Valuement Russia,,,
74,Бизнес-аналитик,https://hh.ru/vacancy/38174590?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Seldon,120000.0,,руб.
75,Экономист-аналитик,https://hh.ru/vacancy/37842873?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Ревада,45000.0,45000.0,руб.
76,Финансовый аналитик,https://hh.ru/vacancy/38054829?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, BestDoctor,,140000.0,руб.
77,Аналитик,https://hh.ru/vacancy/37871596?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Smart Development Ltd,1500.0,2500.0,USD
78,"Аналитик данных, Data Scientist",https://hh.ru/vacancy/38175081?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Комус,,,
79,Аналитик,https://hh.ru/vacancy/38070515?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Доверенная среда,120000.0,150000.0,руб.
80,Аналитик интернет-продаж/Аналитик отдела e-commerce (Удалённо),https://hh.ru/vacancy/38123086?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Фэйсборд,,,
81,Аналитик,https://hh.ru/vacancy/38191457?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," ЦУМ, Офис",,,
82,Аналитик,https://hh.ru/vacancy/38148563?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Nestle,,,
83,Аналитик данных,https://hh.ru/vacancy/37985688?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, BestDoctor,70000.0,100000.0,руб.
84,Технический аналитик / Аналитик BI,https://hh.ru/vacancy/37388360?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, ivi,120000.0,,руб.
85,Аналитик,https://hh.ru/vacancy/37922041?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО БОЛЬШАЯ ТРОЙКА,60000.0,80000.0,руб.
86,Финансовый аналитик,https://hh.ru/vacancy/37741352?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО РБР трейд,100000.0,,руб.
87,Аналитик/Ведущий аналитик (SQL/Tableau),https://hh.ru/vacancy/37785503?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ЧЕСТНОЕ СЛОВО,80000.0,90000.0,руб.
88,BI Аналитик,https://hh.ru/vacancy/38109947?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Spice Agency,170000.0,200000.0,руб.
89,Ведущий аналитик,https://hh.ru/vacancy/37798804?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Крит,150000.0,,руб.
90,Бизнес-аналитик/ экономист – аналитик на проект автоматизации,https://hh.ru/vacancy/37823502?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Белнефтехим-РОС,,,
91,Аналитик по продажам,https://hh.ru/vacancy/38220372?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Экомилк,70000.0,80000.0,руб.
92,Финансовый аналитик,https://hh.ru/vacancy/37849705?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Ломбард Семёрочка,100000.0,,руб.
93,Консультант-аналитик 1С ERP,https://hh.ru/vacancy/38092192?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Гранд Проект,100000.0,120000.0,руб.
94,Аналитик данных,https://hh.ru/vacancy/37638698?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Ресурсный центр Департамента здравоохранения города Москвы,70000.0,80000.0,руб.
95,Бизнес-аналитик,https://hh.ru/vacancy/36840966?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, HOLODILNIK.RU,125000.0,,руб.
